F_INFO_WINDCODE,PRICE_DATE,F_NAV_UNIT,F_NAV_ACCUMULATED,F_NAV_ADJUSTED,IS_EXDIVIDENDDATE,F_NAV_DISTRIBUTION
510050.SH,20171221,2.89400000,3.89700000,4.31117551,0,0.3980
510050.SH,20171222,2.88000000,3.88100000,4.29031979,0,0.3980
510050.SH,20171225,2.87900000,3.87900000,4.28883009,0,0.3980
510050.SH,20171226,2.89300000,3.89600000,4.30968581,0,0.3980
510050.SH,20171227,2.83800000,3.83100000,4.22775262,0,0.3980
510050.SH,20171228,2.85800000,3.85500000,4.25754651,0,0.3980
510050.SH,20171229,2.85900000,3.85600000,4.25903620,0,0.3980
510050.SH,20171231,2.85900000,3.85600000,4.25903620,0,0.3980
510050.SH,20180102,2.90700000,3.91300000,4.33054153,0,0.3980
510050.SH,20180103,2.91200000,3.91900000,4.33799001,0,0.3980
510050.SH,20180104,2.91800000,3.92600000,4.34692817,0,0.3980
510050.SH,20180105,2.93100000,3.94100000,4.36629420,0,0.3980
510050.SH,20180108,2.94600000,3.95900000,4.38863961,0,0.3980
510050.SH,20180109,2.96700000,3.98400000,4.41992320,0,0.3980
510050.SH,20180110,2.99400000,4.01600000,4.46014494,0,0.3980
510050.SH,20180111,2.99500000,4.01700000,4.46163464,0,0.3980
510050.SH,20180112,3.01600000,4.04200000,4.49291822,0,0.3980
510050.SH,20180115,3.04600000,4.07700000,4.53760905,0,0.3980
510050.SH,20180116,3.06100000,4.09500000,4.55995447,0,0.3980
510050.SH,20180117,3.07400000,4.11000000,4.57932049,0,0.3980
510050.SH,20180118,3.10400000,4.14600000,4.62401132,0,0.3980
510050.SH,20180119,3.11500000,4.15900000,4.64039796,0,0.3980
510050.SH,20180122,3.12700000,4.17300000,4.65827429,0,0.3980
510050.SH,20180123,3.17300000,4.22700000,4.72680024,0,0.3980
510050.SH,20180124,3.17700000,4.23200000,4.73275901,0,0.3980
510050.SH,20180125,3.15400000,4.20500000,4.69849604,0,0.3980
510050.SH,20180126,3.17100000,4.22500000,4.72382085,0,0.3980
510050.SH,20180129,3.11800000,4.16200000,4.64486705,0,0.3980
510050.SH,20180130,3.07700000,4.11400000,4.58378958,0,0.3980
510050.SH,20180131,3.11500000,4.15900000,4.64039796,0,0.3980
510050.SH,20180201,3.13900000,4.18700000,4.67615063,0,0.3980
510050.SH,20180202,3.14700000,4.19700000,4.68806818,0,0.3980
510050.SH,20180205,3.17900000,4.23500000,4.73573840,0,0.3980
510050.SH,20180206,3.11500000,4.15900000,4.64039796,0,0.3980
510050.SH,20180207,3.02700000,4.05500000,4.50930486,0,0.3980
510050.SH,20180208,2.94300000,3.95500000,4.38417053,0,0.3980
510050.SH,20180209,2.80800000,3.79500000,4.18306179,0,0.3980
510050.SH,20180212,2.80200000,3.78800000,4.17412362,0,0.3980
510050.SH,20180213,2.85000000,3.84500000,4.24562895,0,0.3980
510050.SH,20180214,2.86800000,3.86600000,4.27244345,0,0.3980
510050.SH,20180222,2.92800000,3.93700000,4.36182512,0,0.3980
