TABLE_SCHEMA,TABLE_NAME,ORDINAL_POSITION,COLUMN_NAME,COLUMN_TYPE,IS_NULLABLE,COLUMN_KEY,COLUMN_COMMENT
financedata,chinaoptiondescription,13,S_INFO_LDDATE,varchar(8),YES,,
financedata,chinaoptiondescription,14,S_INFO_LPRICE,"decimal(20,4)",YES,,
financedata,chinaoptiondescription,15,S_INFO_TRADE,varchar(1),YES,,
financedata,chinaoptiondescription,16,S_INFO_EXCODE,varchar(20),YES,,
financedata,chinaoptiondescription,17,S_INFO_EXNAME,varchar(100),YES,,
financedata,chinaoptiondescription,18,S_INFO_COUNIT,"decimal(20,4)",YES,,
financedata,chinaoptiondescription,19,OPDATE,date,YES,MUL,
financedata,chinaoptiondescription,20,OPMODE,varchar(1),YES,,
financedata,chinaoptioneodprices,1,OBJECT_ID,varchar(100),NO,PRI,
financedata,chinaoptioneodprices,2,S_INFO_WINDCODE,varchar(40),YES,MUL,
financedata,chinaoptioneodprices,3,TRADE_DT,varchar(8),YES,MUL,
financedata,chinaoptioneodprices,4,S_DQ_OPEN,"decimal(20,4)",YES,,
financedata,chinaoptioneodprices,5,S_DQ_HIGH,"decimal(20,4)",YES,,
financedata,chinaoptioneodprices,6,S_DQ_LOW,"decimal(20,4)",YES,,
financedata,chinaoptioneodprices,7,S_DQ_CLOSE,"decimal(20,4)",YES,,
financedata,chinaoptioneodprices,8,S_DQ_SETTLE,"decimal(20,4)",YES,,
financedata,chinaoptioneodprices,9,S_DQ_VOLUME,"decimal(20,4)",YES,,
financedata,chinaoptioneodprices,10,S_DQ_AMOUNT,"decimal(20,4)",YES,,
financedata,chinaoptioneodprices,11,S_DQ_OI,"decimal(20,4)",YES,,
financedata,chinaoptioneodprices,12,S_DQ_OICHANGE,"decimal(20,4)",YES,,
financedata,chinaoptioneodprices,13,S_DQ_PRESETTLE,"decimal(20,4)",YES,,
financedata,chinaoptioneodprices,14,S_DQ_CHANGE1,"decimal(20,4)",YES,,
financedata,chinaoptioneodprices,15,S_DQ_CHANGE2,"decimal(20,4)",YES,,
financedata,chinaoptioneodprices,16,S_DQ_PCTCHANGE1,"decimal(20,4)",YES,,
financedata,chinaoptioneodprices,17,S_DQ_PCTCHANGE2,"decimal(20,4)",YES,,
financedata,chinaoptioneodprices,18,OPDATE,date,YES,MUL,
financedata,chinaoptioneodprices,19,OPMODE,varchar(1),YES,,
financedata,chinaoptionindexeodprices,1,OBJECT_ID,varchar(100),NO,PRI,
financedata,chinaoptionindexeodprices,2,S_INFO_WINDCODE,varchar(40),YES,MUL,
financedata,chinaoptionindexeodprices,3,S_INFO_NAME,varchar(50),YES,MUL,
financedata,chinaoptionindexeodprices,4,TRADE_DT,varchar(8),YES,MUL,
